ID,Tipo,SKU padre,sku ,Nombre,Publicado (0/1),¿Está destacado? (0/1),Visibilidad en el catálogo,Descripción corta,Descripción,Estado del impuesto,Clase de impuesto,¿En inventario? (0/1),Inventario (cantidad),Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes https://drive.google.com/drive/folders/13XxkcNx6Vo_AhtFqQGArKhoRGfDFkn9h,Swatches Attributes,Nombre del atributo 1,Valor(es) del atributo talla,Atributo visible talla,Atributo global talla,Atributo por defecto talla,
32169,variable,,,CINTURÓN POWERLIFTING PBO,1,0,visible,"¡Ya disponible nuestro CINTURÓN PBO para para que mejores más que nunca tu rendimiento en los básicos! Consigue meter más kg a la barra sintiéndote más fuerte, seguro y compacto que nunca.
\n
\n<strong>CARACTERISTICAS:</strong>
\n
\n- Materiales de alta calidad y remaches avanzados para evitar que se abra al realizar el movimiento.
\n- Cinturón semi rígido, se adapta con facilidad ofreciendo una fuerte sujección.
\n- 10mm de grosor y 10 cm de anchura para una sujeción óptima del lumbar y del core. Conseguir más fuerza en el core es una de las claves para conseguir transferir fuerza de forma eficiente y levantar más pesado.
\n-Logotipo PBO, Diseño oficial del equipo.
\n
\n&nbsp;","¡Ya disponible nuestro CINTURÓN PBO para para que mejores más que nunca tu rendimiento en los básicos! Consigue meter más kg a la barra sintiéndote más fuerte, seguro y compacto que nunca.
\n
\nEn PBO usamos materiales de la más alta calidad. Nuestro compromiso es conseguir un cinturón con buenos acabados y que sea duradero, no como otras marcas que se estropean fácilmente cuando afrontas levantamientos pesados.
\n
\n<strong>CARACTERISTICAS:</strong>
\n
\n- Materiales de alta calidad y remaches avanzados para evitar que se abra al realizar el movimiento.
\n- Cinturón semi rígido, se adapta con facilidad ofreciendo una fuerte sujección.
\n- 10mm de grosor y 10 cm de anchura para una sujeción óptima del lumbar y del core. Conseguir más fuerza en el core es una de las claves para conseguir transferir fuerza de forma eficiente y levantar más pesado.
\n-Logotipo PBO, Diseño oficial del equipo.
\n
\nHay existencias.
\n
\n&nbsp;",taxable,,0,0,,,,,,,"TIENDA > Accesorios, ROPA,",,Envío Growbeats,"cinturonpbo.jpg, cinturonpbo4.jpg, cinturonpbo3-1.jpg",,color,"L, M, S, XL",1,1,M,
M96046,variable,,,COLLAR CRUZ L,1,0,visible,,"Collar en latón con baño de oro brillante de 24k. 
Libre de Níquel.

Peso: 43 g

Longitud de la cadena: 75 cm
Longitud del dije: 5 cm",taxable,parent,1,4,,,,,,"220,000",,,,,,color,XL,,1,,
M96047,variable,,,COLLAR CRUZ M,1,0,visible,,"Collar en latón con baño de oro brillante de 24k. 
Libre de Níquel.

Peso: 14 g

Longitud de la cadena: 45 cm + extensión
Longitud del dije: 3 cm",taxable,parent,0,2,,,,,,"180,000",,,,,,color,M,,1,,
M96048,variable,,,COLLAR CRUZ S,1,0,visible,,"Collar en latón con baño de oro brillante de 24k. 
Libre de Níquel.

Peso: 4 g

Longitud de la cadena: 38 cm + extensión
Longitud del dije: 1,5 cm",taxable,parent,0,0,,,,,,"150,000",,,,blanca.png,,color,L,,1,,
M96049,variable,,,COLLAR BUHO M,1,0,visible,,"Collar en latón con baño de oro mate brillante de 24k. 
Libre de Níquel.

Peso: 13 g

Longitud de la cadena: 45 cm + extensión
Longitud del dije: 2,5 cm",taxable,parent,1,4,,,,,,"170,000",,,,,,color,S,,1,,
M96050,variable,,,COLLAR BUHO S,1,0,visible,,"Collar en latón con baño de rodio brillante. 
Libre de Níquel.

Peso: 8 g

Longitud de la cadena: 45 cm + extensión
Longitud del colgante: 1,5 cm",taxable,parent,,,,,,,,"170,000",,,,,,,,,,,
M96054,variable,,,COLLAR ESFERAS M,1,0,visible,,"Collar en latón con baño de oro brillante de 24k. 
Libre de Níquel.

Peso: 23 g

Longitud de la cadena: 60 cm
Longitud del colgante: 5 cm",taxable,parent,,,,,,,,"180,000",,,,,,,,,,,
M96055,variable,,,COLLAR ESFERAS S,1,0,visible,,"Collar en latón con baño de oro brillante de 24k. 
Libre de Níquel.

Peso: 10,5 g

Longitud de la cadena: 45 cm
Longitud del colgante: 3 cm",taxable,parent,,,,,,,,"160,000",,,,,,,,,,,
M96061,variable,,,COLLAR MEDALLON,1,0,visible,,"Collar en latón con baño de oro brillante de 24k. 
Libre de Níquel.

Peso: 49 g

Longitud de la cadena: 45 cm
Longitud del colgante: 6 cm",taxable,parent,,,,,,,,"220,000",,,,,,,,,,,
M96069,variable,,,COLLAR CULEBRA S,1,0,visible,,"Collar en latón con baño de oro brillante de 24k. 
Libre de Níquel.

Peso: 5 g

Longitud de la cadena: 38 cm + extensión
Longitud del colgante: 2 cm",taxable,parent,,,,,,,,"140,000",,,,,,,,,,,
